hola|¡Hola! ¿En qué puedo ayudarte hoy?
quien eres| Hola, soy Cheety, una IA básica creada para responder preguntas sobre artistas y canciones musicales.
como te llamas| Me llamo Cheety, tu asistente musical.
que puedes hacer| Puedo brindarte información sobre artistas musicales y responder preguntas relacionadas con ellos.

quien es lady gaga| Lady Gaga es una cantante, compositora y actriz estadounidense conocida por su estilo extravagante, poderoso talento vocal y actitud vanguardista.
cual es el nombre real de lady gaga| Su nombre real es Stefani Joanne Angelina Germanotta.
de que genero musical es lady gaga| Lady Gaga ha trabajado principalmente en géneros como pop, dance, jazz, electrónica y rock.
cuales son los albumes mas famosos de lady gaga| “The Fame”, “Born This Way”, “Artpop”, “Joanne” y “Chromatica”.
que significa la cancion bad romance| “Bad Romance” habla sobre la búsqueda de un amor apasionado pero destructivo, con una mezcla de deseo y desesperación.
lady gaga ha sido reconocida por su actuacion| Sí, ganó un Oscar por la canción “Shallow” de la película *A Star Is Born*.
de que trata born this way| La canción “Born This Way” es un himno de empoderamiento, autoaceptación y lucha por la igualdad.
ha colaborado lady gaga con otros artistas| Sí, ha colaborado con artistas como Beyoncé, Tony Bennett, Bradley Cooper, R. Kelly y más.
lady gaga tiene alguna influencia musical| Sí, cita a artistas como David Bowie, Queen, Madonna, y Michael Jackson como sus principales influencias.
lady gaga tambien es activista| Sí, Lady Gaga es conocida por su activismo en favor de los derechos de la comunidad LGBTQ+, el feminismo y la lucha contra el acoso.
que significa la cancion shallow| “Shallow” trata sobre salir de las superficialidades y encontrar un amor profundo y real. Fue un éxito de la película *A Star Is Born*.

quien es lana del rey| Lana del Rey es una cantante y compositora estadounidense conocida por su estilo nostálgico y cinematográfico en canciones como "Summertime Sadness" y "Born to Die".
cual es el verdadero nombre de lana del rey| Su nombre real es Elizabeth Woolridge Grant.
cuales son los albumes de lana del rey| Algunos de sus álbumes son "Born to Die", "Ultraviolence", "Honeymoon", "Lust for Life", "Norman Fucking Rockwell!" y "Did You Know That There's a Tunnel Under Ocean Blvd".
que estilo musical tiene lana del rey| Su música combina dream pop, indie pop, baroque pop y rock alternativo.
que inspira las canciones de lana del rey| Sus letras suelen tratar sobre amor trágico, glamour vintage, melancolía, y la cultura estadounidense.
que significa summertime sadness| “Summertime Sadness” trata sobre el contraste entre la belleza del verano y la tristeza interior provocada por una pérdida emocional.
ha trabajado lana del rey con otros artistas| Sí, ha colaborado con The Weeknd, A$AP Rocky, Miley Cyrus, Ariana Grande y más.
de que trata young and beautiful| Es una reflexión sobre el envejecimiento, la belleza efímera y el temor al abandono.
como ha evolucionado el estilo de lana del rey| De un enfoque más glamuroso y triste en sus inicios, ha pasado a una narrativa más madura, introspectiva y lírica en discos como "Norman Fucking Rockwell!".
lana del rey ha sido nominada a premios importantes| Sí, ha sido nominada a varios premios Grammy y reconocida por su impacto en la música alternativa.

quien es the weeknd| The Weeknd es un cantante, compositor y productor canadiense conocido por su estilo R&B alternativo, letras oscuras y producciones atmosféricas.
cual es el nombre real de the weeknd| Su nombre real es Abel Makkonen Tesfaye.
cuales son los albumes mas importantes de the weekend| Incluye "Trilogy", "Beauty Behind the Madness", "Starboy", "After Hours" y "Dawn FM".
con que generos musicales trabaja the weeknd| Principalmente R&B, pop, synthwave, y soul alternativo.
de que trata starboy| Habla de fama, exceso y reinvención personal, acompañado por una producción de Daft Punk.
que expresa la cancion save your tears| La canción aborda el arrepentimiento por una ruptura y la incapacidad de cambiar el pasado.
quienes han colaborado con the weeknd| Ha trabajado con Daft Punk, Ariana Grande, Lana Del Rey, Travis Scott, Kendrick Lamar, Rosalía, y otros.
como es el estilo visual de after hours| Inspirado en el cine neo-noir, presenta a The Weeknd con un traje rojo y heridas faciales, simbolizando decadencia y trauma.
the weeknd ha ganado premios importantes| Sí, ha ganado múltiples American Music Awards, Billboard Music Awards y un Oscar por "Earned It" fue nominado.
de que trata la cancion the hills| La canción explora los excesos, la doble vida y la oscuridad detrás de la fama y las relaciones superficiales.
the weekend participo en el show de medio tiempo del super bowl| Sí, en 2021, con una presentación cinematográfica basada en su era "After Hours".


quien es tyler, the creator| Tyler, The Creator es un rapero, productor y diseñador estadounidense conocido por su estilo experimental, creativo y provocador.
cual es el nombre real de tyler, the creator| Su nombre completo es Tyler Gregory Okonma.
a que colectivo pertenece tyler, the creator| Es fundador del colectivo de hip hop alternativo Odd Future (OFWGKTA).
cuales son los albumes mas conocidos de tyler, the creator| Sus álbumes más destacados incluyen "Goblin", "Wolf", "Cherry Bomb", "Flower Boy", "IGOR" y "Call Me If You Get Lost".
que estilo musical tiene tyler| Tyler combina hip hop alternativo, jazz, soul, R&B, electrónica y psicodelia.
de que trata igor| “IGOR” es un álbum conceptual sobre el amor no correspondido y la transformación emocional, mezclando rap con soul y synth-pop.
que premios ha ganado tyler, the creator| Ha ganado Grammys por Mejor Álbum de Rap con “IGOR” y “Call Me If You Get Lost”.
